#identifikator|ID|start coord|end coord
street|0|10,0|30,0
street|1|10,0|10,300
street|2|30,0|30,300
street|3|10,300|30,300
#
street|4|100,0|140,0
street|5|100,0|50,50
street|6|50,50|50,250
street|7|50,250|100,300
street|8|100,300|140,300
street|9|100,20|140,20
street|10|100,20|70,50
street|11|70,50|70,250
street|12|100,280|70,250
street|13|100,280|140,280
street|14|140,0|140,20
street|15|140,280|140,300
#
street|16|160,0|160,300
street|17|160,0|210,0
street|18|180,150|180,300
street|19|160,300|180,300
street|20|210,0|230,25
street|21|230,25|230,125
street|22|230,125|210,150
street|23|210,150|180,150
#
street|24|180,20|205,20
street|25|205,20|210,30
street|26|210,30|210,120
street|27|210,120|205,130
street|28|205,130|180,130
street|29|180,20|180,130
#street|30|30,150|50,150
#street|31|-200,0|-100,100
#street|32|-200,0|-150,0
#street|33|-200,0|-200,50
text|click on layouts in the top left corner and select the map layout|-100,310|12|
